,Skills,airflow,alteryx,angular,ansible,asana,asp.net,assembly,atlassian,aurora,aws,azure,bash,bigquery,bitbucket,blazor,c,c#,c++,cassandra,centos,chef,cognos,confluence,couchdb,crystal,css,databricks,datarobot,dax,debian,django,docker,dplyr,dynamodb,elasticsearch,elixir,excel,express,fastapi,firebase,firestore,flask,flow,flutter,gcp,gdpr,ggplot2,git,github,gitlab,go,golang,graphql,groovy,hadoop,html,hugging face,ibm cloud,java,javascript,jenkins,jira,jquery,julia,jupyter,kafka,keras,kotlin,kubernetes,linux,looker,macos,mariadb,matlab,matplotlib,microstrategy,mongo,mongodb,ms access,mxnet,mysql,neo4j,nltk,no-sql,node,node.js,nosql,notion,npm,numpy,opencv,openstack,oracle,outlook,pandas,pascal,perl,phoenix,php,plotly,postgresql,power bi,powerpoint,powershell,pulumi,puppet,pyspark,python,pytorch,qlik,r,react,redhat,redis,redshift,rshiny,ruby,ruby on rails,rust,sap,sas,sass,scala,scikit-learn,seaborn,selenium,sharepoint,sheets,shell,slack,smartsheet,snowflake,solidity,spark,splunk,spreadsheet,spring,spss,sql,sql server,ssis,ssrs,svn,swift,symphony,t-sql,tableau,tensorflow,terminal,terraform,theano,tidyverse,trello,twilio,typescript,ubuntu,unify,unity,unix,unreal,vba,visio,vue,vue.js,windows,word,yarn,zoom
53,groovy,-0.37,1.0,-0.23,0.8,,,,-1.0,,-0.24,0.06,0.7,-0.88,0.29,,-0.63,1.0,0.5,0.35,,1.0,,1.0,,,-0.22,-1.0,,,,-1.0,-0.82,,1.0,-0.03,,-0.59,0.89,-0.67,,,-1.0,-0.03,,-0.46,1.0,,-0.22,0.96,-0.08,0.9,-0.76,,1.0,-0.47,-0.16,,,-0.92,0.89,-0.94,-0.37,,-0.4,0.48,-1.0,-0.6,-1.0,-0.79,-0.04,-0.91,,,0.84,-1.0,,1.0,1.0,,-1.0,-0.35,-0.72,1.0,,,-0.31,0.18,,,-0.39,-1.0,,-0.98,1.0,-0.91,,0.93,,1.0,,-1.0,0.69,,1.0,,1.0,-0.86,-0.99,0.95,-1.0,0.89,0.49,,1.0,-0.97,,1.0,,-1.0,-0.82,1.0,,-0.8,1.0,-1.0,1.0,,,0.62,-1.0,,-0.63,,0.92,,,,1.0,-0.94,-1.0,1.0,1.0,,,,,-1.0,-0.86,,0.29,,,,,-1.0,,,,1.0,,,1.0,,1.0,0.81,-0.36,,-1.0
54,hadoop,0.56,-0.85,0.3,-0.48,-1.0,,0.4,0.72,,0.73,0.66,0.16,0.16,0.45,,0.12,0.06,0.74,0.32,,0.05,0.18,-0.55,,-1.0,0.61,0.4,,0.28,,1.0,0.7,,-0.4,0.44,,0.67,-0.36,-0.34,,,-0.77,0.79,,0.77,0.69,,0.64,-0.18,-0.1,0.37,0.48,0.63,-0.47,1.0,0.59,0.61,,0.86,0.58,0.85,0.5,-0.21,0.62,0.52,0.72,0.27,1.0,0.17,-0.13,0.04,,,0.47,0.16,1.0,-1.0,0.92,,1.0,-0.1,-0.08,0.66,-1.0,1.0,-0.2,0.51,,0.07,0.69,0.84,,0.48,0.14,0.52,,0.24,,-0.59,0.99,0.47,0.32,0.88,-0.62,-0.71,-0.99,0.56,0.67,0.39,0.08,0.65,-0.37,,-0.04,0.3,,-0.87,,0.46,-0.29,0.06,,0.48,0.75,-0.94,-1.0,,0.59,-0.41,-0.55,,0.55,-1.0,0.72,,-1.0,-0.98,0.33,0.6,-0.04,0.06,-0.76,,-0.64,,-1.0,0.57,0.61,,-0.43,,,,,-0.68,,-0.94,,0.3,0.34,0.16,0.48,-0.72,-1.0,0.25,0.92,1.0,-0.75
55,html,0.66,-0.97,0.52,-0.61,1.0,,1.0,0.23,,0.84,0.78,-0.87,0.12,0.9,,0.22,-0.45,0.23,0.87,,0.1,0.94,-0.87,,-1.0,0.99,0.55,,0.58,,1.0,0.64,,-0.08,-0.25,,-0.17,-0.7,-0.63,,,0.64,0.63,,0.75,0.32,,-0.01,0.33,-0.76,0.0,0.48,0.91,-0.16,0.59,1.0,1.0,,0.42,0.56,-0.15,-0.58,0.81,0.83,0.54,0.52,0.94,0.96,0.87,0.16,-0.3,,,0.18,-0.29,,-0.96,0.41,,1.0,-0.65,-0.39,1.0,-1.0,1.0,0.68,0.27,,0.88,0.16,-0.96,,-0.18,-0.66,-0.06,,0.19,,0.05,1.0,0.43,0.01,-0.3,-0.96,-1.0,-1.0,0.39,0.69,0.19,0.64,0.39,0.87,,0.8,0.19,,-0.74,,0.65,0.28,-0.12,,0.25,0.94,-1.0,-1.0,,0.04,-0.9,0.38,,0.1,1.0,0.68,,-1.0,-1.0,-0.48,0.38,0.83,-0.18,-0.73,,1.0,,1.0,0.27,0.41,,-0.13,,,,,0.99,,-0.1,,0.89,1.0,0.02,0.3,-0.2,-1.0,0.46,0.69,,-0.9
56,hugging face,0.8,-1.0,-1.0,-1.0,,,,0.99,,0.5,0.2,-0.26,0.98,,,-1.0,,0.35,,,,,,,,1.0,0.64,,,,,0.49,,,0.7,,0.93,-0.7,,,,-0.08,-0.01,,0.47,0.45,,0.37,0.07,-1.0,0.82,,,,0.61,1.0,1.0,,0.82,-1.0,0.76,0.44,,0.33,0.45,0.92,-1.0,,0.85,-1.0,1.0,,,0.29,0.98,,,-1.0,,,0.51,1.0,-1.0,,,-0.57,-0.79,,,0.92,-1.0,,0.86,-1.0,0.8,,1.0,,-1.0,1.0,1.0,0.69,1.0,,,,1.0,0.81,-1.0,-1.0,0.2,-0.15,,,1.0,,,,0.97,0.4,-0.71,,0.88,0.57,1.0,,,,-1.0,-0.06,,0.97,,0.46,,,,,0.93,-1.0,,-1.0,,,,,0.83,-1.0,,-1.0,,,,,1.0,,,,1.0,1.0,,,,,-1.0,0.39,,
57,ibm cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,java,0.61,-0.7,0.02,-0.22,1.0,,-0.09,0.71,,0.64,0.77,0.26,0.14,-0.61,,0.33,-0.49,0.84,0.09,,-0.01,0.54,-0.53,,-1.0,0.4,0.48,,0.44,,1.0,0.74,,-0.94,0.76,,0.64,-0.54,0.91,,,-0.57,0.57,,0.79,0.67,,0.49,-0.03,0.28,0.19,0.6,0.91,-0.92,0.86,0.42,0.82,,1.0,0.53,0.81,0.39,-0.33,0.53,0.61,0.85,0.53,0.55,0.48,-0.01,-0.23,,,0.48,-0.12,1.0,-0.89,0.73,,1.0,0.19,0.62,0.05,-1.0,1.0,-0.11,0.65,,-0.32,0.56,0.67,,0.45,-0.69,0.36,,0.37,,0.0,0.94,0.78,0.39,0.74,0.29,-0.11,-0.93,0.61,0.64,0.7,0.32,0.64,-0.24,,0.68,0.27,,-0.44,,0.65,0.05,0.12,,0.43,0.76,-0.53,-1.0,,0.46,-0.47,-0.2,,0.68,1.0,0.76,,-1.0,-0.92,0.6,0.6,0.32,0.57,-0.63,,-0.22,,1.0,0.49,0.78,,-0.44,,,,,-0.15,,-0.04,,0.75,0.3,-0.23,0.9,-0.51,-1.0,0.18,0.59,1.0,0.16
59,javascript,0.46,-0.48,0.19,0.23,-1.0,,0.39,-0.0,,0.2,0.42,-0.34,-0.48,0.3,,-0.03,0.2,0.1,0.37,,0.54,0.72,-0.61,,-1.0,0.52,0.01,,0.43,,-1.0,0.19,,0.92,-0.39,,0.12,-0.23,-0.94,,,-0.7,0.52,,-0.01,0.56,,0.06,0.12,-0.2,0.2,0.29,-0.01,0.89,0.58,0.56,-1.0,,0.53,1.0,-0.05,0.07,0.76,-0.25,-0.34,0.04,-0.33,0.5,0.02,-0.04,-0.4,,,0.59,-0.33,1.0,-0.85,0.9,,-1.0,-0.23,-0.82,1.0,-1.0,1.0,0.16,0.25,,0.78,-0.01,-0.23,,0.26,0.01,-0.26,,0.28,,0.65,1.0,0.05,0.12,0.46,-0.79,-0.06,0.51,0.04,0.17,-0.04,0.95,0.61,0.85,,0.08,-0.18,,0.26,,-0.8,-0.05,0.76,,-0.07,0.03,-1.0,1.0,,0.03,0.02,-0.3,,0.31,1.0,0.54,,-1.0,-0.5,0.07,0.07,0.52,-0.07,0.02,,-0.26,,1.0,0.27,-0.25,,-0.13,,,,,-0.2,,-0.32,,-0.07,-0.26,0.15,0.27,0.64,1.0,0.37,0.34,-1.0,-0.71
60,jenkins,0.81,-0.65,-0.12,-0.55,-1.0,,-0.21,0.92,,0.49,0.58,0.4,0.65,0.16,,0.22,0.52,-0.18,-0.11,,-0.55,-0.27,0.25,,-1.0,-0.07,0.07,,0.24,,1.0,0.85,,-0.97,0.53,,0.93,-0.41,0.87,,,-0.6,0.58,,0.72,0.23,,0.89,-0.66,0.52,0.57,-0.12,0.09,-0.94,0.85,-0.15,0.76,,0.81,-0.05,1.0,0.92,-1.0,0.57,0.6,0.69,0.14,-0.34,0.19,0.01,0.45,,,0.2,0.75,1.0,-0.95,0.62,,1.0,0.27,0.85,-0.0,-1.0,1.0,-0.57,0.18,,1.0,0.85,0.85,,0.8,0.43,0.78,,-0.1,,-0.97,0.84,0.58,0.41,0.86,0.31,-0.14,-0.96,0.65,0.75,0.42,-0.05,0.66,-0.78,,-0.57,0.77,,-0.55,,0.72,-0.12,-0.13,,0.8,0.69,-0.49,-1.0,,-0.93,-0.08,-0.23,,0.02,-1.0,0.55,,-1.0,-0.46,-0.69,0.88,-0.03,0.17,-0.7,,-0.77,,-1.0,0.83,0.58,,0.07,,,,,-0.61,,-0.68,,-0.13,0.15,0.91,0.55,-1.0,-1.0,0.21,0.77,1.0,0.17
61,jira,0.8,-0.5,-0.24,0.05,-1.0,,-0.09,0.8,,0.01,0.44,0.66,0.38,-0.26,,-0.11,0.67,0.18,0.12,,0.67,-0.29,0.5,,-1.0,-0.5,0.04,,0.21,,-1.0,0.66,,-0.44,0.44,,0.79,-0.13,0.94,,,-0.72,0.56,,0.09,0.75,,0.91,-0.1,0.6,0.68,-0.72,0.03,-0.37,0.5,-0.58,0.44,,0.39,0.07,0.92,1.0,-0.37,0.61,0.78,0.44,0.06,-0.66,-0.44,-0.41,0.71,,,0.16,0.64,1.0,0.32,0.58,,-1.0,0.31,0.86,0.31,1.0,1.0,-0.7,-0.06,,0.03,0.66,0.85,,0.85,0.96,0.76,,0.14,,-0.78,0.75,0.31,0.48,0.79,0.39,0.16,0.21,0.5,0.6,-0.31,-0.06,0.71,-0.8,,-0.68,0.57,,0.31,,0.37,-0.29,0.11,,0.59,0.81,-0.73,1.0,,-0.29,0.29,-0.7,,0.81,-1.0,0.73,,1.0,-0.64,0.17,0.72,-0.0,0.28,-0.55,,-0.71,,-1.0,0.81,-0.1,,-0.2,,,,,-0.93,,-0.76,,-0.31,0.91,0.77,0.65,-0.02,-1.0,-0.57,0.73,1.0,0.4
62,jquery,1.0,,0.97,-1.0,,,,,,0.36,0.53,,0.57,,,1.0,-1.0,-0.49,,,1.0,,-0.6,,,0.84,0.57,,-1.0,,,0.84,,,-1.0,,-0.92,,,,,,1.0,,0.25,,,-0.08,0.88,-1.0,-0.22,1.0,,,-0.21,0.81,,,-0.33,0.76,-1.0,-0.37,1.0,,,1.0,1.0,1.0,1.0,0.68,-0.31,,,0.1,-1.0,,,1.0,,,-0.88,,,,,0.87,-0.01,,1.0,-1.0,-1.0,,-0.32,,-1.0,,1.0,,,,1.0,-0.92,-1.0,-1.0,,,,0.72,-0.43,1.0,0.99,0.94,,,0.56,,,,,0.98,-0.65,,1.0,,,,,-1.0,-1.0,1.0,,1.0,,0.77,,,,-1.0,0.9,1.0,-1.0,,,1.0,,,0.39,-0.28,,0.99,,,,,,,,,,,-0.09,,1.0,,0.27,1.0,,-1.0
63,julia,0.73,-0.95,0.54,-0.51,,,-0.7,0.63,,0.77,0.89,0.4,0.15,0.73,,0.52,-0.67,0.32,0.77,,-0.4,-1.0,-0.28,,1.0,0.84,0.66,,0.37,,1.0,0.74,,-0.33,0.37,,0.22,-0.24,-0.42,,,-0.22,0.75,,0.59,0.32,,0.84,-0.15,0.23,0.43,-0.73,0.68,-0.4,0.62,0.83,0.33,,0.53,-0.25,0.57,0.61,,1.0,0.8,0.68,0.86,1.0,0.37,0.11,0.26,,,0.11,0.64,,-0.65,0.32,,1.0,-0.09,-0.33,0.93,-1.0,-1.0,0.04,0.4,,1.0,0.35,0.74,,0.63,-1.0,0.77,,0.24,,-0.73,1.0,0.24,0.42,0.78,0.39,0.94,-0.01,0.28,0.71,0.53,-0.49,0.7,-0.47,,0.69,0.36,,0.48,,0.5,-0.39,-0.36,,0.43,0.94,-0.99,-1.0,,1.0,-0.6,-0.35,,-0.12,,0.59,,-1.0,-0.13,-0.97,0.59,0.05,0.12,-0.99,,-0.17,,,0.66,0.88,,-0.0,,,,,-0.61,,-0.09,,0.78,1.0,1.0,0.19,,-1.0,-0.51,0.91,1.0,0.48
64,jupyter,0.73,-0.63,-0.19,0.09,,,1.0,0.57,,0.63,0.89,0.77,0.24,0.31,,-0.8,-0.18,0.97,0.44,,0.88,1.0,0.34,,-1.0,0.53,0.74,,0.74,,-1.0,0.63,,0.42,0.79,,0.44,0.25,0.33,,,-0.16,0.34,,0.8,0.78,,0.9,0.62,0.26,0.68,-0.94,0.93,0.48,0.52,0.54,0.45,,0.61,-0.34,0.6,0.78,,0.8,1.0,0.54,0.87,-1.0,0.12,-0.37,0.45,,,0.71,0.69,,-0.78,0.35,,-1.0,0.32,0.1,0.49,-1.0,1.0,-0.66,0.28,,1.0,0.7,0.99,,0.77,0.38,0.9,,0.73,,-0.3,0.87,0.04,0.85,0.99,0.95,1.0,0.51,0.44,0.84,0.84,-0.66,0.83,-0.66,,0.89,0.37,,0.75,,0.3,-0.3,-0.1,,0.5,0.93,-0.85,1.0,,1.0,0.01,-0.66,,0.49,,0.78,,-1.0,-0.55,0.23,0.72,0.05,0.76,-0.62,,0.05,,,0.8,0.85,,-0.46,,,,,-0.63,,-0.51,,0.97,1.0,1.0,0.64,,1.0,-0.99,0.94,1.0,0.94
65,kafka,0.82,-0.8,0.07,-0.55,1.0,,-0.7,0.61,,0.75,0.85,0.12,0.68,-0.12,,0.61,-0.93,0.65,0.07,,-0.75,0.57,-0.67,,1.0,0.49,0.9,,0.6,,1.0,0.91,,-0.99,0.62,,0.59,-0.65,0.61,,,-0.26,0.53,,0.87,0.44,,0.57,0.42,0.14,0.06,0.39,0.61,-1.0,0.72,0.52,0.92,,0.85,0.04,0.69,0.44,1.0,0.68,0.54,1.0,0.68,0.94,0.6,0.31,-0.09,,,0.41,-0.4,1.0,-0.33,0.46,,1.0,-0.0,0.67,-0.3,-1.0,-1.0,-0.11,0.69,,1.0,0.22,0.6,,0.28,-0.76,0.27,,-0.01,,-0.08,0.89,0.85,0.39,0.76,0.37,-0.04,-0.71,0.63,0.84,0.39,-0.1,0.54,-0.43,,0.56,0.7,,-0.4,,0.9,0.21,-0.45,,0.88,0.66,-0.21,-1.0,,-0.94,-0.7,0.01,,0.85,1.0,0.82,,-1.0,0.13,-0.99,0.8,0.12,0.12,-0.92,,0.04,,1.0,0.58,0.78,,0.05,,,,,0.03,,0.53,,0.64,0.2,-0.68,-0.04,1.0,-1.0,-0.21,0.63,1.0,0.19
66,keras,0.7,-0.95,0.12,-0.23,,,,0.36,,0.74,0.87,0.57,0.17,0.5,,0.88,-0.88,0.8,0.59,,-1.0,1.0,-0.39,,,0.92,0.69,,0.71,,1.0,0.69,,-0.54,0.59,,-0.1,-0.2,-0.19,,,0.23,0.32,,0.77,0.41,,0.49,0.74,0.27,-0.13,-0.32,0.94,-0.6,0.27,0.94,-1.0,,0.53,-0.33,0.14,0.06,1.0,0.86,0.87,0.68,1.0,0.96,0.58,0.6,-0.38,,,0.49,-0.61,,-1.0,0.16,,1.0,-0.0,-0.12,0.82,,,0.04,0.78,,,0.22,0.51,,-0.25,-0.88,0.33,,0.52,,0.03,1.0,0.53,0.69,0.64,0.68,0.77,0.3,0.15,0.81,0.88,-0.53,0.6,-0.32,,0.79,0.26,,0.41,,0.57,0.04,-0.54,,0.4,0.71,-1.0,-1.0,,,-0.56,-0.03,,-0.04,1.0,0.6,,,1.0,-1.0,0.68,0.27,0.47,-0.99,,0.63,,1.0,0.64,0.96,,0.29,,,,,-0.01,,0.86,,0.89,1.0,-1.0,0.15,1.0,-1.0,-0.77,0.77,1.0,0.68
67,kotlin,1.0,-1.0,0.84,-0.86,,,,-1.0,,0.9,0.79,-1.0,0.2,1.0,,0.97,-0.95,0.04,1.0,,-1.0,1.0,-0.83,,,0.99,0.6,,1.0,,1.0,0.99,,-1.0,-0.6,,-0.95,-1.0,-1.0,,,,0.91,,0.83,-1.0,,-0.01,0.24,-0.61,-0.9,0.41,1.0,-1.0,1.0,0.96,,,0.55,0.5,-0.34,-0.66,1.0,1.0,-1.0,0.94,0.96,1.0,0.86,0.9,-0.47,,,-0.13,-1.0,,-1.0,0.19,,1.0,-0.9,-1.0,,,,0.96,0.63,,,-0.95,-1.0,,-0.46,-1.0,-0.15,,-0.37,,1.0,,1.0,-0.65,-1.0,-1.0,,,-1.0,0.63,0.08,0.61,0.44,0.84,,1.0,0.46,,1.0,,,0.32,-0.73,,0.31,,,-1.0,,,-1.0,0.93,,-1.0,1.0,0.5,,,,-1.0,0.89,0.94,-0.73,-1.0,,1.0,,1.0,-0.16,0.98,,0.93,,,,,1.0,,1.0,,1.0,,-1.0,-1.0,1.0,,0.55,0.81,,-1.0
68,kubernetes,0.52,-0.6,0.09,-0.64,1.0,,0.54,0.23,,0.73,0.61,-0.21,0.47,0.6,,0.3,-0.6,-0.18,0.34,,-0.19,1.0,-0.81,,-1.0,0.84,0.44,,0.91,,1.0,0.53,,-0.74,0.28,,-0.04,-0.9,0.07,,,0.62,0.06,,0.63,-0.22,,0.15,-0.18,-0.22,0.07,0.44,0.93,-0.79,0.17,0.87,0.85,,0.48,0.02,0.19,-0.44,1.0,0.37,0.12,0.6,0.58,0.86,1.0,0.25,-0.27,,,0.17,0.09,,-0.99,-0.2,,1.0,-0.08,0.15,-0.42,-1.0,1.0,0.4,0.27,,1.0,0.4,-0.08,,-0.24,-0.73,0.26,,0.35,,0.02,0.38,0.77,0.28,-0.03,0.1,0.16,-0.89,0.68,0.63,0.58,0.43,0.1,0.39,,0.78,0.49,,-0.24,,0.7,0.66,-0.36,,0.5,0.2,0.81,-1.0,,1.0,-0.78,0.56,,-0.47,1.0,0.11,,-1.0,-0.74,-0.55,0.62,0.63,0.3,-0.3,,0.71,,1.0,0.27,0.6,,0.08,,,,,0.7,,0.03,,0.86,0.55,-0.13,0.56,1.0,-1.0,0.07,0.03,1.0,0.03
69,linux,-0.44,0.17,0.42,-0.37,1.0,,-0.82,-0.56,,0.47,0.48,0.06,-0.32,0.87,,0.91,-0.83,-0.26,0.8,,-0.91,0.32,-0.53,,1.0,0.09,0.29,,-0.24,,1.0,0.49,,0.04,0.02,,-0.59,0.17,-0.72,,,-0.12,0.29,,0.49,-0.7,,0.03,-0.3,0.45,-0.67,0.34,-0.28,-0.04,-0.13,0.16,-1.0,,-0.01,-0.04,0.01,-0.41,0.68,0.11,-0.37,0.31,0.6,0.9,0.25,1.0,-0.73,,,0.12,-0.31,,0.52,0.43,,1.0,-0.64,-0.36,0.91,1.0,-1.0,0.41,0.71,,-0.2,-0.11,0.32,,-0.82,-0.64,-0.14,,-0.44,,0.6,-0.99,0.38,-0.4,-0.17,-0.19,0.36,-0.75,-0.88,0.02,0.55,-0.3,-0.15,0.01,,0.94,-0.42,,0.03,,-0.27,-0.18,-0.29,,0.12,-0.64,-0.59,-1.0,,-0.8,-0.83,0.38,,-0.71,1.0,-0.05,,1.0,1.0,-0.61,-0.07,-0.25,-0.53,-0.18,,0.21,,1.0,-0.59,0.63,,0.9,,,,,-0.08,,1.0,,0.06,-0.52,-0.92,-0.99,-0.09,-1.0,0.44,-0.02,1.0,-0.22
70,looker,0.72,-0.73,-0.15,-0.09,-1.0,,0.49,0.88,,-0.44,-0.43,-0.05,0.55,-0.68,,-0.52,0.74,-0.08,-0.62,,0.8,-0.8,0.77,,-1.0,-0.21,-0.32,,-0.21,,1.0,-0.05,,-0.94,-0.02,,0.67,-0.46,0.92,,,-0.13,-0.02,,-0.32,0.37,,0.33,-0.03,-0.1,0.63,-0.29,-0.08,-0.91,0.04,-0.3,1.0,,-0.23,-0.4,0.45,0.71,-0.31,0.26,0.45,-0.09,-0.38,-0.47,-0.27,-0.73,1.0,,,-0.37,0.64,,-0.91,-0.15,,1.0,0.49,0.77,-0.72,-1.0,1.0,-0.38,-0.77,,0.87,0.36,0.15,,0.91,0.73,0.51,,-0.06,,-0.94,0.97,-0.02,0.11,0.26,0.06,-0.56,-0.27,0.91,0.1,-0.57,-0.14,0.03,-0.34,,-0.88,0.68,,-0.34,,0.88,0.04,-0.2,,0.19,0.53,0.29,-1.0,,0.06,0.32,-0.3,,0.65,-1.0,0.08,,-1.0,-0.82,-0.11,0.33,-0.1,0.1,-0.62,,-0.56,,-1.0,0.62,-0.39,,-0.5,,,,,-0.25,,-0.78,,-0.37,0.18,0.91,0.85,-0.17,-1.0,-0.35,0.26,1.0,-0.01
71,macos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,mariadb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,matlab,0.43,-0.03,-0.55,0.57,1.0,,1.0,-0.25,,0.53,0.7,0.8,0.13,-0.28,,-0.29,-0.08,0.57,-0.22,,0.9,0.98,-0.46,,-1.0,0.08,0.71,,0.92,,-1.0,0.36,,0.8,0.81,,0.32,0.7,-0.16,,,-0.75,0.13,,0.65,0.9,,0.27,0.74,-0.47,0.18,0.59,0.82,0.84,0.47,0.18,0.29,,0.48,0.59,0.2,0.16,0.1,0.11,0.71,0.41,0.49,-0.13,0.17,0.12,-0.37,,,1.0,-0.34,,0.03,0.78,,-1.0,-0.44,-0.19,0.48,1.0,1.0,-0.6,0.49,,-0.51,0.3,0.82,,-0.21,-0.62,-0.24,,0.72,,0.8,0.78,-0.12,0.79,0.87,0.13,-1.0,1.0,0.2,0.66,0.37,-0.27,0.65,-0.33,,0.94,0.01,,0.15,,-0.34,-0.24,0.22,,0.57,0.88,-0.85,1.0,,1.0,0.06,-0.44,,0.46,1.0,0.76,,1.0,-1.0,0.71,0.4,-0.39,0.69,0.12,,-0.5,,1.0,0.3,0.18,,-0.03,,,,,-0.2,,0.06,,0.84,1.0,-0.72,0.82,0.64,1.0,0.65,0.43,,-0.47
74,matplotlib,0.86,-0.91,-0.31,-0.49,-1.0,,-1.0,0.75,,0.12,-0.06,0.32,0.24,0.39,,-0.24,0.91,-0.52,-0.59,,-0.62,-1.0,0.72,,,-0.2,-0.54,,0.0,,,0.37,,-1.0,0.14,,0.56,-0.4,1.0,,,-0.02,-0.13,,0.4,-0.07,,0.67,-0.77,0.38,0.74,-0.52,0.1,-1.0,0.16,-0.29,0.98,,-0.12,-0.33,0.75,0.64,-1.0,0.64,0.69,-0.4,-0.61,-1.0,0.09,-0.31,0.64,,,-0.34,1.0,,-1.0,-0.27,,,0.61,0.56,-0.54,-1.0,,-0.42,-0.85,,1.0,0.87,0.38,,0.97,0.86,0.93,,0.3,,-0.93,1.0,-0.61,0.29,0.16,0.11,0.03,-0.88,0.95,0.33,0.38,0.12,0.17,-0.18,,-0.87,0.43,,0.19,,0.89,-0.05,0.35,,0.26,0.78,0.05,,,1.0,0.97,-0.07,,-0.56,,-0.26,,-1.0,-1.0,-1.0,0.62,0.11,0.37,-0.99,,-0.35,,,0.61,0.25,,-0.12,,,,,-0.27,,-0.98,,-0.26,0.61,0.94,1.0,,,0.12,0.15,,0.15
75,microstrategy,1.0,,,-1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,-1.0,,,,,,,,,1.0,,,,,1.0,-1.0,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,-1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,-1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
76,mongo,-0.98,0.87,-0.42,0.54,,,-1.0,-1.0,,-0.89,-0.81,0.84,-0.85,-1.0,,0.26,-0.13,-0.08,-1.0,,-0.38,-1.0,0.91,,1.0,-0.95,-0.73,,-1.0,,-1.0,-0.37,,1.0,0.49,,-0.25,0.78,1.0,,,1.0,-0.64,,-0.89,-0.57,,-0.94,-0.19,0.89,-0.68,1.0,-1.0,1.0,-1.0,-0.96,,,-0.89,-0.85,-0.95,0.32,,-0.65,-0.78,-0.33,-1.0,-1.0,-0.99,0.52,-0.91,,,0.03,-1.0,,1.0,1.0,,-1.0,0.59,0.96,,1.0,-1.0,-0.44,0.72,,-1.0,-0.72,,,-0.89,-1.0,-0.97,,-0.42,,-1.0,-1.0,-1.0,-0.24,-1.0,1.0,,,-0.83,-0.91,1.0,-0.88,-0.83,-1.0,,,-1.0,,,,1.0,-0.7,-0.21,,-0.63,-1.0,,1.0,,-1.0,1.0,0.15,,-0.55,,-0.85,,1.0,1.0,0.43,-0.9,-0.98,-0.07,0.52,,,,,-0.89,-1.0,,0.67,,,,,,,1.0,,-1.0,,-1.0,-0.55,,,0.51,-0.86,,
77,mongodb,0.6,-0.4,-0.13,0.37,,,,0.01,,0.57,0.54,0.41,0.12,0.05,,-0.14,-0.01,0.62,-0.01,,1.0,1.0,-0.61,,,0.31,0.58,,0.4,,-1.0,0.64,,1.0,0.5,,0.53,0.62,-0.72,,,-0.99,0.6,,0.68,0.54,,0.62,0.09,-0.75,0.25,0.56,-0.02,1.0,0.92,0.41,-1.0,,0.73,0.9,0.62,0.58,1.0,0.32,0.35,0.46,0.16,0.19,-0.2,0.43,-0.15,,,0.78,-0.27,,1.0,1.0,,-1.0,-0.66,-0.77,0.62,,,-0.56,0.61,,,0.61,0.92,,0.01,-0.53,0.01,,0.28,,1.0,1.0,-0.19,0.17,0.97,-0.55,-0.66,0.37,-0.23,0.61,0.08,-0.84,0.63,-0.64,,0.3,0.07,,0.01,,-0.08,-0.72,-0.06,,0.7,0.65,-0.92,1.0,,,-0.09,-0.71,,0.44,1.0,0.87,,,-1.0,1.0,0.49,-0.86,-0.05,-0.54,,-0.67,,1.0,0.61,0.24,,0.51,,,,,-0.7,,0.16,,0.09,-1.0,-1.0,-0.18,1.0,1.0,0.64,0.88,-1.0,-0.73
78,ms access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
